REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/enhanced_n78.wav	 SQValue=2.461	 2.461	 0.000	 0	 16000	0.0000
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/noisy_n16.wav	 SQValue=2.045	 2.045	 0.000	 0	 16000	0.0000
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/noisy_n17.wav	 SQValue=1.951	 1.951	 0.000	 0	 16000	0.0000
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/noisy_n28.wav	 SQValue=2.191	 2.191	 0.000	 0	 16000	0.0000
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/noisy_n29.wav	 SQValue=2.056	 2.056	 0.000	 0	 16000	0.0000
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/noisy_n68.wav	 SQValue=1.779	 1.779	 0.000	 0	 16000	0.0000
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/noisy_n69.wav	 SQValue=1.809	 1.809	 0.000	 0	 16000	0.0000
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/noisy_n77.wav	 SQValue=2.238	 2.238	 0.000	 0	 16000	0.0000
 ./clean.wav	 /home/shomec/m/miralv/Masteroppgave/Code/Deep-Learning-for-Speech-Separation/results/noisy_n78.wav	 SQValue=2.253	 2.253	 0.000	 0	 16000	0.0000
 
