DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 noisy_f2_4_x-c0987_n29_snr_10.wav	 2.270	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n29_snr_10.wav	 2.663	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n29_snr_15.wav	 2.668	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n29_snr_15.wav	 2.856	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n29_snr_5.wav	 1.844	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n29_snr_5.wav	 2.429	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n68_snr_0.wav	 1.367	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n68_snr_0.wav	 1.882	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n68_snr_10.wav	 2.129	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n68_snr_10.wav	 2.523	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n68_snr_15.wav	 2.518	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n68_snr_15.wav	 2.726	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n68_snr_5.wav	 1.730	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n68_snr_5.wav	 2.252	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n69_snr_0.wav	 1.233	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n69_snr_0.wav	 1.676	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n69_snr_10.wav	 1.821	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n69_snr_10.wav	 2.257	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n69_snr_15.wav	 2.217	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n69_snr_15.wav	 2.526	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n69_snr_5.wav	 1.454	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n69_snr_5.wav	 1.970	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n77_snr_0.wav	 1.718	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n77_snr_0.wav	 1.590	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n77_snr_10.wav	 2.237	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n77_snr_10.wav	 2.229	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n77_snr_15.wav	 2.601	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n77_snr_15.wav	 2.551	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n77_snr_5.wav	 1.936	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n77_snr_5.wav	 1.919	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n78_snr_0.wav	 1.837	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n78_snr_0.wav	 1.790	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n78_snr_10.wav	 2.400	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n78_snr_10.wav	 2.370	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n78_snr_15.wav	 2.771	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n78_snr_15.wav	 2.695	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_n78_snr_5.wav	 2.083	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_n78_snr_5.wav	 2.024	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_STATION_ch01_snr_0.wav	 1.653	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_STATION_ch01_snr_0.wav	 2.006	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_STATION_ch01_snr_10.wav	 2.576	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_STATION_ch01_snr_10.wav	 2.702	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_STATION_ch01_snr_15.wav	 3.010	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_STATION_ch01_snr_15.wav	 2.941	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_STATION_ch01_snr_5.wav	 2.116	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_STATION_ch01_snr_5.wav	 2.376	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_STO_16k_ch01_snr_0.wav	 1.367	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_STO_16k_ch01_snr_0.wav	 1.602	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_STO_16k_ch01_snr_10.wav	 2.130	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_STO_16k_ch01_snr_10.wav	 2.368	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_STO_16k_ch01_snr_15.wav	 2.595	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_STO_16k_ch01_snr_15.wav	 2.715	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_STO_16k_ch01_snr_5.wav	 1.705	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_STO_16k_ch01_snr_5.wav	 1.952	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_TER_16k_ch01_snr_0.wav	 1.872	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_TER_16k_ch01_snr_0.wav	 2.164	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_TER_16k_ch01_snr_10.wav	 2.704	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_TER_16k_ch01_snr_10.wav	 2.785	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_TER_16k_ch01_snr_15.wav	 3.099	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_TER_16k_ch01_snr_15.wav	 3.021	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_TER_16k_ch01_snr_5.wav	 2.271	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_TER_16k_ch01_snr_5.wav	 2.506	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_WAY_16k_ch01_snr_0.wav	 3.146	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_WAY_16k_ch01_snr_0.wav	 3.038	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_WAY_16k_ch01_snr_10.wav	 3.718	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_WAY_16k_ch01_snr_10.wav	 3.197	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_WAY_16k_ch01_snr_15.wav	 3.902	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_WAY_16k_ch01_snr_15.wav	 3.212	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_WAY_16k_ch01_snr_5.wav	 3.481	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_WAY_16k_ch01_snr_5.wav	 3.142	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_ARK_16k_ch01_snr_0.wav	 2.319	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_ARK_16k_ch01_snr_0.wav	 2.685	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_ARK_16k_ch01_snr_10.wav	 2.958	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_ARK_16k_ch01_snr_10.wav	 3.086	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_ARK_16k_ch01_snr_15.wav	 3.218	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_ARK_16k_ch01_snr_15.wav	 3.237	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_ARK_16k_ch01_snr_5.wav	 2.664	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_ARK_16k_ch01_snr_5.wav	 2.907	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_CAR_16k_ch01_snr_0.wav	 3.151	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_CAR_16k_ch01_snr_0.wav	 3.169	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_CAR_16k_ch01_snr_10.wav	 3.799	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_CAR_16k_ch01_snr_10.wav	 3.394	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_CAR_16k_ch01_snr_15.wav	 4.058	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_CAR_16k_ch01_snr_15.wav	 3.437	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_CAR_16k_ch01_snr_5.wav	 3.498	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_CAR_16k_ch01_snr_5.wav	 3.293	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_HEN_16k.ch01_snr_0.wav	 2.189	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_HEN_16k.ch01_snr_0.wav	 2.529	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_HEN_16k.ch01_snr_10.wav	 2.866	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_HEN_16k.ch01_snr_10.wav	 2.950	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_HEN_16k.ch01_snr_15.wav	 3.122	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_HEN_16k.ch01_snr_15.wav	 3.170	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_HEN_16k.ch01_snr_5.wav	 2.546	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_HEN_16k.ch01_snr_5.wav	 2.730	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_ING_16k_ch01_snr_0.wav	 2.214	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_ING_16k_ch01_snr_0.wav	 2.085	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_ING_16k_ch01_snr_10.wav	 2.845	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_ING_16k_ch01_snr_10.wav	 2.943	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_ING_16k_ch01_snr_15.wav	 3.113	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_ING_16k_ch01_snr_15.wav	 3.134	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_ING_16k_ch01_snr_5.wav	 2.557	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_ING_16k_ch01_snr_5.wav	 2.630	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n16_snr_0.wav	 1.707	 0.000	 0	 16000	0.0040
 enhanced_f2_4_x-c1319_n16_snr_0.wav	 1.920	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n16_snr_10.wav	 2.113	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n16_snr_10.wav	 2.406	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n16_snr_15.wav	 2.386	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n16_snr_15.wav	 2.670	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n16_snr_5.wav	 1.888	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n16_snr_5.wav	 2.146	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n17_snr_0.wav	 1.301	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n17_snr_0.wav	 1.795	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n17_snr_10.wav	 2.049	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n17_snr_10.wav	 2.355	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n17_snr_15.wav	 2.343	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n17_snr_15.wav	 2.588	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n17_snr_5.wav	 1.792	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n17_snr_5.wav	 2.088	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n28_snr_0.wav	 1.871	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n28_snr_0.wav	 2.085	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n28_snr_10.wav	 2.316	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n28_snr_10.wav	 2.637	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n28_snr_15.wav	 2.607	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n28_snr_15.wav	 2.891	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n28_snr_5.wav	 2.068	 0.000	 0	 16000	0.0000
