speaker file snr pesq_noisy pesq_enhanced
1 f2_4_x-c1319_n17_snr_10 10 2.049000 2.345000
1 f2_4_x-c1319_n17_snr_15 15 2.343000 2.597000
1 f2_4_x-c1319_n17_snr_5 5 1.792000 2.052000
1 f2_4_x-c1319_n28_snr_0 0 1.871000 2.063000
1 f2_4_x-c1319_n28_snr_10 10 2.316000 2.656000
1 f2_4_x-c1319_n28_snr_15 15 2.607000 2.908000
1 f2_4_x-c1319_n28_snr_5 5 2.068000 2.368000
1 f2_4_x-c1319_n29_snr_0 0 1.220000 2.125000
1 f2_4_x-c1319_n29_snr_10 10 2.283000 2.629000
1 f2_4_x-c1319_n29_snr_15 15 2.581000 2.837000
1 f2_4_x-c1319_n29_snr_5 5 1.984000 2.408000
1 f2_4_x-c1319_n68_snr_0 0 1.312000 1.903000
1 f2_4_x-c1319_n68_snr_10 10 1.980000 2.447000
1 f2_4_x-c1319_n68_snr_15 15 2.352000 2.660000
1 f2_4_x-c1319_n68_snr_5 5 1.656000 2.213000
1 f2_4_x-c1319_n69_snr_0 0 1.459000 1.766000
1 f2_4_x-c1319_n69_snr_10 10 1.884000 2.285000
1 f2_4_x-c1319_n69_snr_15 15 2.217000 2.559000
1 f2_4_x-c1319_n69_snr_5 5 1.610000 2.012000
1 f2_4_x-c1319_n77_snr_0 0 3.183000 1.682000
1 f2_4_x-c1319_n77_snr_10 10 2.127000 2.378000
1 f2_4_x-c1319_n77_snr_15 15 2.455000 2.738000
1 f2_4_x-c1319_n77_snr_5 5 1.870000 2.002000
1 f2_4_x-c1319_n78_snr_0 0 1.358000 1.797000
1 f2_4_x-c1319_n78_snr_10 10 2.244000 2.434000
1 f2_4_x-c1319_n78_snr_15 15 2.559000 2.763000
1 f2_4_x-c1319_n78_snr_5 5 1.977000 2.079000
1 f2_4_x-c1319_STATION_ch01_snr_0 0 1.740000 2.118000
1 f2_4_x-c1319_STATION_ch01_snr_10 10 2.452000 2.745000
1 f2_4_x-c1319_STATION_ch01_snr_15 15 2.775000 2.979000
1 f2_4_x-c1319_STATION_ch01_snr_5 5 2.112000 2.459000
1 f2_4_x-c1319_STO_16k_ch01_snr_0 0 1.495000 1.704000
1 f2_4_x-c1319_STO_16k_ch01_snr_10 10 2.125000 2.409000
1 f2_4_x-c1319_STO_16k_ch01_snr_15 15 2.467000 2.716000
1 f2_4_x-c1319_STO_16k_ch01_snr_5 5 1.791000 2.069000
1 f2_4_x-c1319_TER_16k_ch01_snr_0 0 1.871000 2.202000
1 f2_4_x-c1319_TER_16k_ch01_snr_10 10 2.523000 2.827000
1 f2_4_x-c1319_TER_16k_ch01_snr_15 15 2.805000 3.055000
1 f2_4_x-c1319_TER_16k_ch01_snr_5 5 2.191000 2.531000
1 f2_4_x-c1319_WAY_16k_ch01_snr_0 0 3.170000 3.095000
1 f2_4_x-c1319_WAY_16k_ch01_snr_10 10 3.657000 3.304000
1 f2_4_x-c1319_WAY_16k_ch01_snr_15 15 3.791000 3.340000
1 f2_4_x-c1319_WAY_16k_ch01_snr_5 5 3.454000 3.228000
1 f2_4_x-c1956_ARK_16k_ch01_snr_0 0 2.302000 2.739000
1 f2_4_x-c1956_ARK_16k_ch01_snr_10 10 3.059000 3.055000
1 f2_4_x-c1956_ARK_16k_ch01_snr_15 15 3.350000 3.123000
1 f2_4_x-c1956_ARK_16k_ch01_snr_5 5 2.708000 2.921000
1 f2_4_x-c1956_CAR_16k_ch01_snr_0 0 3.356000 3.077000
1 f2_4_x-c1956_CAR_16k_ch01_snr_10 10 3.860000 3.185000
1 f2_4_x-c1956_CAR_16k_ch01_snr_15 15 4.053000 3.193000
1 f2_4_x-c1956_CAR_16k_ch01_snr_5 5 3.629000 3.153000
1 f2_4_x-c1956_HEN_16k.ch01_snr_0 0 2.253000 2.587000
1 f2_4_x-c1956_HEN_16k.ch01_snr_10 10 2.980000 2.939000
1 f2_4_x-c1956_HEN_16k.ch01_snr_15 15 3.288000 3.058000
1 f2_4_x-c1956_HEN_16k.ch01_snr_5 5 2.626000 2.780000
1 f2_4_x-c1956_ING_16k_ch01_snr_0 0 2.025000 2.218000
1 f2_4_x-c1956_ING_16k_ch01_snr_10 10 2.736000 2.919000
1 f2_4_x-c1956_ING_16k_ch01_snr_15 15 3.049000 3.044000
1 f2_4_x-c1956_ING_16k_ch01_snr_5 5 2.390000 2.632000
1 f2_4_x-c1956_n16_snr_0 0 1.655000 1.815000
1 f2_4_x-c1956_n16_snr_10 10 2.083000 2.404000
1 f2_4_x-c1956_n16_snr_15 15 2.407000 2.648000
1 f2_4_x-c1956_n16_snr_5 5 1.844000 2.111000
1 f2_4_x-c1956_n17_snr_0 0 1.613000 1.800000
1 f2_4_x-c1956_n17_snr_10 10 2.014000 2.328000
1 f2_4_x-c1956_n17_snr_15 15 2.312000 2.572000
1 f2_4_x-c1956_n17_snr_5 5 1.783000 2.059000
1 f2_4_x-c1956_n28_snr_0 0 1.810000 2.096000
1 f2_4_x-c1956_n28_snr_10 10 2.334000 2.658000
1 f2_4_x-c1956_n28_snr_15 15 2.643000 2.850000
1 f2_4_x-c1956_n28_snr_5 5 2.043000 2.379000
1 f2_4_x-c1956_n29_snr_0 0 1.741000 2.029000
1 f2_4_x-c1956_n29_snr_10 10 2.215000 2.577000
1 f2_4_x-c1956_n29_snr_15 15 2.497000 2.783000
1 f2_4_x-c1956_n29_snr_5 5 1.960000 2.360000
1 f2_4_x-c1956_n68_snr_0 0 1.512000 1.955000
1 f2_4_x-c1956_n68_snr_10 10 2.050000 2.483000
1 f2_4_x-c1956_n68_snr_15 15 2.424000 2.714000
1 f2_4_x-c1956_n68_snr_5 5 1.715000 2.239000
1 f2_4_x-c1956_n69_snr_0 0 1.427000 1.845000
1 f2_4_x-c1956_n69_snr_10 10 2.008000 2.413000
1 f2_4_x-c1956_n69_snr_15 15 2.388000 2.651000
1 f2_4_x-c1956_n69_snr_5 5 1.692000 2.142000
1 f2_4_x-c1956_n77_snr_0 0 1.810000 1.791000
1 f2_4_x-c1956_n77_snr_10 10 2.334000 2.506000
1 f2_4_x-c1956_n77_snr_15 15 2.676000 2.787000
1 f2_4_x-c1956_n77_snr_5 5 2.035000 2.177000
1 f2_4_x-c1956_n78_snr_0 0 1.793000 1.799000
1 f2_4_x-c1956_n78_snr_10 10 2.345000 2.519000
1 f2_4_x-c1956_n78_snr_15 15 2.671000 2.783000
1 f2_4_x-c1956_n78_snr_5 5 2.044000 2.189000
1 f2_4_x-c1956_STATION_ch01_snr_0 0 1.677000 2.083000
1 f2_4_x-c1956_STATION_ch01_snr_10 10 2.495000 2.728000
1 f2_4_x-c1956_STATION_ch01_snr_15 15 2.835000 2.934000
